1737879374.2274454 CAN0, ID=0x1dc, DLC=8, 0x5d, 0x3, 0x8f, 0xfd, 0x8, 0xc0, 0xc3, 0x35
1737879374.228494 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x2, 0x40, 0x6
1737879374.2293534 CAN1, ID=0x1da, DLC=8, 0x1, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x1, 0x75
1737879374.2303581 CAN1, ID=0x56e, DLC=1, 0x46, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x1, 0x75
1737879374.2323525 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x0, 0x0, 0x1, 0xdc
1737879374.2333577 CAN1, ID=0x50b, DLC=7, 0x0, 0x0, 0x0, 0xc0, 0x0, 0x0, 0x0, 0x0
1737879374.2357001 CAN1, ID=0x5a9, DLC=8, 0xff, 0xff, 0xfc, 0xff, 0xff, 0xf7, 0xfe, 0x0
1737879374.236397 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x2, 0x6, 0x61, 0xc6
1737879374.2374005 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0x62, 0x0, 0x3, 0xfa
1737879374.2384002 CAN0, ID=0x1dc, DLC=8, 0x5d, 0x3, 0x8f, 0xfd, 0xc, 0xdc, 0xc4, 0xf4
1737879374.239398 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x2, 0xa0, 0xb
1737879374.2403922 CAN1, ID=0x1da, DLC=8, 0x1, 0x0, 0x0, 0x0, 0x7f, 0xff, 0x2, 0x7f
1737879374.2414289 CAN1, ID=0x55a, DLC=8, 0x0, 0x2d, 0x2f, 0x0, 0x5f, 0x0, 0x3a, 0xc8
1737879374.2423913 CAN1, ID=0x284, DLC=8, 0x0, 0x0, 0x0, 0x0, 0x0, 0x0, 0x3, 0x89
1737879374.2444184 CAN1, ID=0x11a, DLC=8, 0x1, 0x40, 0x84, 0x55, 0x40, 0x0, 0x2, 0x11
1737879374.2453814 CAN1, ID=0x1d4, DLC=8, 0x6e, 0x6e, 0x0, 0x0, 0x42, 0x6, 0x61, 0x1
1737879374.247376 CAN0, ID=0x1db, DLC=8, 0xff, 0xe0, 0xff, 0xeb, 0x62, 0x0, 0x0, 0xf0
