1737879374.4560142 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0x1a
1737879374.4570136 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x2, 0x40, 0x6
1737879374.4649916 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x0, 0xb0
1737879374.4659967 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0xc1
1737879374.4680343 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x2, 0xa0, 0xb
1737879374.470016 CAN0, ID=0x55b, DLC=8, 0xf7, 0x0, 0xaa, 0x0, 0xff, 0xc0, 0x33, 0xe3
1737879374.4739676 CAN0, ID=0x7bb, DLC=8, 0x26, 0x0, 0x0, 0xff, 0xff, 0xff, 0xff, 0xff
1737879374.4761257 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x1, 0x35
1737879374.4769597 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0xb9
1737879374.4779599 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x3, 0x0, 0x14
1737879374.4869342 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x2, 0x3f
1737879374.4879286 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0xdb
1737879374.4899254 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x0, 0x1f, 0xff
1737879374.4969068 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x3, 0xba
1737879374.4979055 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0x1a
1737879374.4998972 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x0, 0xa0, 0x6
1737879374.501892 CAN0, ID=0x59e, DLC=8, 0x0, 0x0, 0xc, 0x6, 0x50, 0x0, 0x0, 0x0
1737879374.5028927 CAN0, ID=0x5c0, DLC=8, 0x40, 0x0, 0x3c, 0x0, 0x65, 0x18, 0x1, 0xf
1737879374.5118654 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x0, 0xb0
1737879374.513859 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0xc1
1737879374.5158553 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x1, 0x0, 0xc
1737879374.5238342 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x1, 0x35
1737879374.5248296 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0xb9
1737879374.5258288 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x1, 0x60, 0x16
1737879374.5377975 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x2, 0x3f
1737879374.5387917 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0xdb
1737879374.539791 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x2, 0x40, 0x6
1737879374.5477707 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x3, 0xba
1737879374.5497646 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0x1a
1737879374.5507805 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x2, 0xa0, 0xb
1737879374.560773 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x0, 0xb0
1737879374.561731 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0xc1
1737879374.563727 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x3, 0x0, 0x14
1737879374.5697117 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x1, 0x35
1737879374.5707126 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0xb9
1737879374.5717084 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x0, 0x1f, 0xff
1737879374.5767183 CAN0, ID=0x7bb, DLC=8, 0x10, 0x10, 0x61, 0x4, 0x1, 0xc2, 0x14, 0x1
1737879374.5787258 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x2, 0x3f
1737879374.579686 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0xdb
1737879374.5806816 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x0, 0xa0, 0x6
1737879374.5816786 CAN0, ID=0x55b, DLC=8, 0xf7, 0x0, 0xaa, 0x0, 0xff, 0xc0, 0x30, 0xe9
1737879374.5896564 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x3, 0xba
1737879374.590656 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0x1a
1737879374.5916545 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x1, 0x0, 0xc
1737879374.5966787 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x0, 0xb0
1737879374.5976348 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0xc1
1737879374.5996313 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x1, 0x60, 0x16
1737879374.6016254 CAN0, ID=0x7bb, DLC=8, 0x21, 0xd9, 0x15, 0x2, 0xd9, 0x0, 0x2, 0xd9
1737879374.6096354 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x1, 0x35
1737879374.6106327 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x4, 0xc4, 0xc6, 0xb9
1737879374.6126282 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x2, 0x40, 0x6
1737879374.6166172 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x2, 0x3f
1737879374.6176202 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x8, 0xc0, 0xc3, 0xdb
1737879374.6206079 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x2, 0xa0, 0xb
1737879374.6216047 CAN0, ID=0x7bb, DLC=8, 0x22, 0x14, 0x14, 0x0, 0xff, 0xff, 0xff, 0xff
1737879374.6265843 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x3, 0xba
1737879374.6283271 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0xc, 0xdc, 0xc4, 0x1a
1737879374.6293294 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x3, 0x0, 0x14
1737879374.6381102 CAN0, ID=0x1db, DLC=8, 0x0, 0x0, 0xff, 0xeb, 0x62, 0x0, 0x0, 0xb0
1737879374.641103 CAN0, ID=0x1dc, DLC=8, 0x60, 0x0, 0xf, 0xfd, 0x1, 0x10, 0xe1, 0xc1
1737879374.6421008 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x0, 0x1f, 0xff
