1737879739.9913664 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x1, 0x0, 0xc
1737879739.99853 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x1, 0x85
1737879739.9995358 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x4, 0xc4, 0xc6, 0x1c
1737879740.0005243 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x1, 0x60, 0x16
1737879740.0104022 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x2, 0x8f
1737879740.0123959 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x8, 0xc0, 0xc3, 0x7e
1737879740.0123959 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x2, 0x40, 0x6
1737879740.0183842 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x3, 0xa
1737879740.0193763 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0xc, 0xdc, 0xc4, 0xbf
1737879740.0203736 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x2, 0xa0, 0xb
1737879740.0293536 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x0, 0x0
1737879740.0303483 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x1, 0x10, 0xe1, 0x64
1737879740.0313456 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x3, 0x0, 0x14
1737879740.0391579 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x1, 0x85
1737879740.0411527 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x4, 0xc4, 0xc6, 0x1c
1737879740.042149 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xf0, 0x14, 0xc9, 0x0, 0x1f, 0xff
1737879740.050758 CAN0, ID=0x1db, DLC=8, 0xff, 0x80, 0xac, 0xeb, 0x62, 0x0, 0x2, 0x8f
1737879740.0517964 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0x8, 0xc0, 0xc3, 0x7e
1737879740.0537512 CAN0, ID=0x5bc, DLC=8, 0x32, 0x80, 0xe7, 0x14, 0xc8, 0x0, 0xa0, 0x6
1737879740.0557497 CAN0, ID=0x55b, DLC=8, 0xf7, 0x0, 0xaa, 0x0, 0xce, 0x80, 0x10, 0xff
1737879740.0607378 CAN0, ID=0x1db, DLC=8, 0xff, 0x60, 0xac, 0xeb, 0x62, 0x0, 0x3, 0x38
1737879740.0627277 CAN0, ID=0x1dc, DLC=8, 0x5e, 0x0, 0x8f, 0xfd, 0xc, 0xdc, 0xc4, 0xbf
